VERSION_INDEX;FILE_NAME;LOC;LOC_ADDED;MAX_LOC_ADDED;AVG_LOC_ADDED;NR;NFIX;AUTHORS;CHURN;MAX_CHURN;BUGGYNESS
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java;71;64;64;1.3617021276595744;1;0;3;64;64;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java;114;102;102;2.1702127659574466;1;0;3;102;102;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java;333;325;317;6.914893617021277;2;0;3;314;317;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java;84;76;76;1.6170212765957446;1;0;3;76;76;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java;58;49;49;1.0425531914893618;1;0;3;49;49;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java;123;112;112;2.382978723404255;1;0;3;112;112;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java;369;332;332;7.217391304347826;1;0;3;332;332;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java;231;211;211;4.586956521739131;1;0;3;211;211;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java;586;541;541;11.76086956521739;1;0;3;541;541;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java;366;333;333;7.239130434782608;1;0;3;333;333;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java;99;88;88;1.9130434782608696;1;0;3;88;88;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java;41;35;35;0.7608695652173914;1;0;3;35;35;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java;66;54;54;1.173913043478261;1;0;3;54;54;No
1;hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java;54;47;47;1.0217391304347827;2;0;3;47;47;No
